step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,32564122_stopped,32564122_accumulated_waiting_time,32564122_average_speed,cluster_1757124350_1757124352_stopped,cluster_1757124350_1757124352_accumulated_waiting_time,cluster_1757124350_1757124352_average_speed,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_stopped,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_accumulated_waiting_time,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_average_speed,gneJ143_stopped,gneJ143_accumulated_waiting_time,gneJ143_average_speed,gneJ207_stopped,gneJ207_accumulated_waiting_time,gneJ207_average_speed,gneJ210_stopped,gneJ210_accumulated_waiting_time,gneJ210_average_speed,gneJ260_stopped,gneJ260_accumulated_waiting_time,gneJ260_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
57600.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57605.0,1,0.0,0.0,4.3062526420922955,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57610.0,0,0.0,0.0,9.183687590269193,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57615.0,3,0.0,0.0,5.8994933921383375,0,0.0,0.3051608426715445,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7117285191431829,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57620.0,2,5.0,0.29411764705882354,8.309951588360441,0,0.0,0.2894981593687256,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9391943139866277,0,0.0,0.955881741587566,0,0.0,1.0,0,0.0,1.0,0,0.0
57625.0,2,10.0,0.4166666666666667,8.528990558396343,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.717196573234139,0,0.0,0.8923425410131925,0,0.0,1.0,0,0.0,1.0,0,0.0
57630.0,4,16.0,0.5333333333333333,8.678095743872568,0,1.0,0.7913815042209212,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8794533012398396,0,0.0,0.8817568046408778,0,0.0,1.0,0,0.0,1.0,0,1.0
57635.0,5,26.0,0.6842105263157895,8.664102535315438,0,0.0,1.0,1,0.0,0.4674490228548623,0,0.0,0.6944534550853413,0,0.0,0.8186717009906227,0,0.0,0.9349606212880525,0,0.0,1.0,0,2.0,0.916657212052195,1,2.0
57640.0,5,40.0,0.9523809523809523,8.972307546863428,0,0.0,1.0,0,0.0,0.7853898095841789,0,0.0,1.0,0,0.0,0.8458782111966944,0,0.0,0.8612163994656373,0,0.0,0.6754458034783025,0,2.0,0.7050023543700616,0,2.0
57645.0,7,65.0,1.4130434782608696,8.868310120779885,0,0.0,1.0,1,1.0,0.0007630616484607775,0,0.0,0.9288309484645583,0,0.0,0.8430537119708547,0,0.0,0.9516570202443759,0,0.0,1.0,2,9.0,0.39773434443800787,3,10.0
