step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,32564122_stopped,32564122_accumulated_waiting_time,32564122_average_speed,cluster_1757124350_1757124352_stopped,cluster_1757124350_1757124352_accumulated_waiting_time,cluster_1757124350_1757124352_average_speed,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_stopped,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_accumulated_waiting_time,cluster_306484187_cluster_1200363791_1200363826_1200363834_1200363898_1200363927_1200363938_1200363947_1200364074_1200364103_1507566554_1507566556_255882157_306484190_average_speed,gneJ143_stopped,gneJ143_accumulated_waiting_time,gneJ143_average_speed,gneJ207_stopped,gneJ207_accumulated_waiting_time,gneJ207_average_speed,gneJ210_stopped,gneJ210_accumulated_waiting_time,gneJ210_average_speed,gneJ260_stopped,gneJ260_accumulated_waiting_time,gneJ260_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
57600.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57605.0,1,0.0,0.0,4.459972032828955,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57610.0,0,0.0,0.0,9.231804278300388,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57615.0,3,0.0,0.0,5.998946151923582,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5114696932916862,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57620.0,1,5.0,0.29411764705882354,9.132979762278437,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8484263597061914,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
57625.0,2,10.0,0.4166666666666667,8.194552030180187,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.59734568671767,0,0.0,0.7631583437105905,0,0.0,1.0,0,0.0,1.0,0,0.0
57630.0,4,17.0,0.5666666666666667,8.71814605504665,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7890928788476116,0,0.0,0.8516884561388266,0,0.0,1.0,0,0.0,0.9529413123104975,0,0.0
57635.0,5,27.0,0.7105263157894737,8.549077390922406,0,0.0,0.43966104017374963,1,0.0,0.0,0,0.0,0.6885062828438745,0,0.0,0.88484565656576,0,0.0,0.835537700595637,0,0.0,1.0,0,0.0,0.9522559883038677,1,0.0
57640.0,6,43.0,1.0,8.821568354466327,1,3.0,0.0005720166001531158,0,0.0,0.7998178522058172,0,0.0,1.0,0,0.0,0.8219275945526683,0,0.0,0.9025360691887487,0,0.0,0.9212118852056629,1,1.0,0.5173659479773559,2,4.0
57645.0,9,71.0,1.5106382978723405,8.260561263968471,0,0.0,1.0,0,0.0,0.5062163121206101,0,0.0,0.7727716129396598,0,0.0,0.7873910967663034,0,0.0,0.976124734701909,0,0.0,0.9600149322211811,2,9.0,0.3836707526718148,2,9.0
